ORDER_NO,CUSTOMER_NUMBER_ONLINE,ORDER_VALUE_ONLINE,DISCOUNT_VALUE_ONLINE,NUMBER_ITEMS_ONLINE,NUMBER_DISCOUNTED_ITEMS_ONLINE
10705471,88476081,"13228,38","1731,82",106,20
10718797,54396114,"19326,43","1598,2",148,16
10728354,55016805,"7571,8",0,40,0
10733559,57026931,"13730,11","934,03",116,16
10738127,88447674,"18455,28","2862,35",100,10
10744652,88798335,"23893,09","5744,35",110,12
10767224,61579782,"11085,22","3222,6",104,32
10787982,58203213,"20805,42","4450,07",126,42
10793216,84937422,"26551,08","814,82",218,12
10798616,85096014,"11559,44","230,56",106,4
10838330,77541156,"6628,6","36,68",20,0
10841384,63201315,"12543,25","260,69",98,4
10843106,67957041,"10482,62","2089,45",72,8
10852268,60264411,"15037,49","1458,03",130,42
10853600,63578949,"13190,39","1130,53",88,28
10854724,54358554,"13792,99",0,12,0
10857111,88030785,"20128,15","15617,82",224,180
10867304,54390834,"19043,47","1388,6",168,28
10879117,80993064,"14175,51","1953,21",116,20
10887399,55791279,"15763,23","3102,08",128,30
10918091,56695632,"13735,35","602,6",126,12
10927978,68939976,"8778,31","36,68",62,4
10930439,61743141,"32936,02","3505,56",256,50
10935607,60334446,"29831,32","1350,61",234,18
10941294,58212021,"36103,6","636,66",246,12
10944189,64289433,"15215,65","3379,8",104,36
10953080,68108037,"11769,04","1408,25",86,12
10957026,60131166,"14035,34","4032,18",120,28
10960996,86756193,"14466,33","327,5",86,6
10984991,61009089,"28808,21","3911,66",196,58
10996331,60254067,"9028,52","471,6",98,16
11020820,58406220,"14981,16","3802,93",118,18
11043222,67689267,"16046,19","934,03",110,14
11050855,59054043,"17385,01","5859,63",98,30
11061410,66587856,"19149,58","4571,9",196,56
11063727,57757551,"15537,91","1150,18",126,24
11082250,60571341,"14738,81",0,92,0
11095445,56322675,"12617,92","457,19",126,4
11101594,88477671,"9399,25","7630,75",296,100
11103638,57520338,"7591,45","657,62",70,14
11114281,86587152,"13555,88","3104,7",70,32
11120668,60125550,"10905,75","504,35",30,0
11135800,86408496,"14627,46",0,2,0
11137336,85650759,"30013,41","2643,58",212,34
11161782,87859200,"24891,31","1423,97",226,8
11168752,65911899,"14901,25","2917,37",138,32
11170074,58592157,"22714,09","1252,36",156,16
11191445,55473006,"28568,48","6019,45",244,72
11214340,59769024,"11710,09","1894,26",88,20
11226408,54921405,"17742,64","389,07",122,8
11238271,57670254,"18992,38","1844,48",168,20
11260939,78885837,"9387,46","4579,76",46,16
11265211,76806006,"27596,46",0,128,0
11277966,61938414,"17100,74","1899,5",118,22
11281709,68158323,"38905,69","1451,48",402,18
11292089,60971409,"22659,07","14290,79",100,40
11294341,83714934,"9800,11","2964,53",88,38
11312260,64003806,"15671,53","3565,82",102,28
11314034,75202650,"13718,32","2270,23",112,30
11316499,66374559,"15294,25","286,89",88,0
11322830,61613331,"9889,19","1099,09",4,0
11327544,58235961,"13191,7","1370,26",102,22
11341089,55652148,"19266,17","3594,64",116,38
11363146,83970447,7074,0,2,0
11367911,54105273,"24886,07","4425,18",178,32
11387243,61562859,"22892,25","1450,17",186,16
11387565,85335339,"22283,1","3813,41",156,16
11392037,61721451,"26311,35","3073,26",212,36
11409599,58571544,15720,0,2,0
11411423,84701823,"11242,42","696,92",112,16
11418019,61577154,"7278,36","660,24",44,8
11421593,55470450,"15061,07",0,2,0
11428873,54465066,"21637,27","2067,18",118,4
11436240,54212274,"31352,23","1526,15",200,4
11441291,56980806,"12523,6","1334,89",76,4
11455221,61613331,"51645,44","2749,69",272,34
11457142,60125550,"25810,93","5505,93",78,20
11466598,58030599,"27169,4","4087,2",152,40
11478456,86618253,"14476,81","471,6",100,6
11485090,61809318,"12486,92","1092,54",88,10
11487653,77541156,"7459,14",0,12,0
11511115,81567690,"6628,6","87,77",52,6
11540558,58208151,"15113,47","2280,71",170,24
11540771,55233489,"17450,51","3161,03",142,36
11572045,54122538,9825,"1042,76",62,4
11573612,63822876,5109,0,2,0
11588391,88696461,"24047,67","437,54",164,8
11595919,62699358,"10375,2","2841,39",62,14
11628511,57063768,"8689,23","799,1",54,4
11640737,69311778,"8056,5","1062,41",62,14
11642088,88376475,"25952,41","3088,98",180,20
11660287,66625005,"16595,08","2023,95",98,20
11662084,57890781,"31396,77","2957,98",170,52
11664368,61613331,"43321,7","5085,42",258,56
11667093,63317490,"8306,71",1965,78,34
11687020,68175699,"20484,47","320,95",114,4
11701416,66051456,"11368,18","3037,89",98,34
11708507,65196156,"16040,95",0,126,0
11708750,57906054,"13207,42","3877,6",112,40
11708931,61044000,"18564,01","3040,51",136,28
11712700,68203095,"11872,53",0,26,0
11718124,84818847,"23484,37","665,48",188,12
11729634,56429694,"7704,11","419,2",66,0
11736946,59392032,"22111,49","1374,19",144,22
11738078,55113303,"16330,46","3521,28",138,40
11745037,63071952,"12332,34","1104,33",112,26
11764476,55019658,"31209,44","2799,47",242,40
11772509,85260429,"19897,59","2004,3",170,28
11820734,62933592,"6901,08","349,77",64,4
11825695,67412709,"15121,33","4410,77",50,10
11832248,59487663,"19019,89","1562,83",136,12
11833414,56212776,"10206,21",0,8,0
11912304,77541156,"17626,05","2056,7",120,14
11916697,75194712,"1596,89",0,4,0
11929956,86815179,"7609,79",0,58,0
11934994,58048923,"13500,86","3499,01",88,52
11944617,87430140,"10460,35","782,07",86,16
11951674,81421893,"13436,67","141,48",76,0
11980957,65325285,"17822,55","3016,93",142,52
12004783,76050660,"7396,26",0,68,0
12014561,60219324,"9859,06","2741,83",78,34
12018443,86752602,"14670,69","2798,16",132,30
12040306,62544048,"35037,26","2606,9",228,32
12057660,60174636,"9708,41","1079,44",30,0
12059345,84853719,"12176,45","3154,48",82,26
12066356,56523177,"10189,18","1408,25",64,6
12087252,88147536,"15995,1","2589,87",146,20
12091793,59815785,"29180,25","2149,71",172,26
12096281,60131166,"28822,62","1167,21",168,10
12097986,67894170,"21012,4","2682,88",146,18
12102943,60852750,"13080,35","520,07",74,4
12106767,54171789,15720,0,2,0
12111932,74753760,"20822,45",5764,138,16
12128361,55361148,"14332,71","1150,18",114,22
12131057,74519463,"7836,42",0,32,0
12133099,60343983,"21265,23","4712,07",164,66
12139092,84659694,"9134,63","1215,68",78,24
12141826,55327941,3930,0,2,0
12144888,66891576,"11731,05","1811,73",102,18
12152368,86660964,"7008,5","144,1",68,4
12156062,87200403,"7485,34","3775,42",54,20
12205771,64848417,"15202,55","514,83",118,4
12207786,57684246,"28345,78","1700,38",136,4
12216322,88629627,"18430,39","1399,08",148,12
12220566,61533162,"22334,19","5436,5",158,26
12231745,61561407,"63849,4","2262,37",360,12
12235386,86969688,"12820,97","793,86",126,4
12268930,66153324,"21438,15","1767,19",148,24
12282225,77669586,"14106,08","370,73",90,0
12313219,60164976,"16858,39","6180,58",112,44
12314438,59510697,"28671,97","4252,26",152,12
12340288,84159399,"9885,26","1286,42",66,4
12346302,79925721,"12198,72","922,24",72,14
12363780,54303348,"21297,98","82,53",136,12
12364262,60254067,"26768,54","1054,55",192,0
12369734,87015084,"10418,43","2147,09",84,20
12383337,61262295,"10351,62","2485,07",94,32
12396163,85335339,"10787,85","179,47",98,6
12418706,60524790,"9488,33","1097,78",68,14
12429296,60497433,5109,0,2,0
12444257,54293781,"27504,76","2604,28",218,24
12467129,65744088,"21976,56","2346,21",182,18
12482877,85435329,"10924,09","1177,69",4,0
12493929,64697424,"7325,52",0,16,0
12521629,54079488,"42175,45","128,38",234,4
12544663,68274039,"15021,77","2416,95",98,22
12550788,77978811,"14049,75","1695,14",120,32
12559239,77560062,"9810,59","2559,74",98,32
12559620,65320722,"11235,87","965,47",88,12
12571187,86956590,"17343,09",0,152,0
12573291,75886650,"11522,76","810,89",112,14
12578473,54822888,"21225,93","2157,57",156,20
12615216,56184264,"27566,33","1228,78",206,10
12624684,76537548,"25890,84","3125,66",220,60
12624962,64190328,"11982,57","2883,31",106,24
12656600,67766499,"26300,87",0,202,0
12664828,65973495,"7772,23","170,3",58,4
12666955,55953840,"21611,07","1070,27",136,4
12672528,75391209,"1295,59",0,2,0
12679915,59717805,"19676,2","4125,19",70,10
12686893,87848277,"13248,03","221,39",98,0
12697105,64166715,"17145,28","784,69",94,12
12700688,56321325,"9082,23","307,85",54,0
12705126,67576911,"11820,13","1820,9",88,26
12715596,57423807,"16150,99","1786,84",90,4
12715881,77560062,"9460,82","841,02",52,6
12735105,67335951,5109,0,2,0
12743276,57470778,"8589,67","2731,35",84,44
12749258,61990452,"12238,02","4283,7",46,0
12764886,86695911,"10897,89","1087,3",98,0
12771775,83445660,"9931,11","2585,94",62,30
12772708,55498275,3930,0,2,0
12775820,66691416,"34610,2","4189,38",292,60
12791292,77351148,"30038,3","1705,62",178,12
12794001,77212818,"14149,31","1123,98",102,28
12808970,86696448,"7292,77",0,62,0
12817644,67159914,"13650,2","1959,76",132,12
12827393,54232296,"16076,32","183,4",106,0
12829744,60058404,"15706,9","2160,19",112,36
12835722,58360077,"691,68",0,4,0
12848712,60769125,"12617,92","1071,58",110,16
12857805,62625285,"37053,35","3691,58",248,38
12857882,65932221,"12756,78","1290,35",82,16
12904213,61729071,"23344,2","2609,52",140,44
12904727,66337260,"30688,06","5161,4",244,70
12921013,67442472,"16779,79","7811,53",58,44
12956536,66510612,"14691,65","2606,9",120,36
12960344,64859109,"30131,31","767,66",202,14
12972415,75202650,"13698,67","1721,34",70,22
12973382,77631939,"13276,85",0,26,0
12976063,64548957,"17082,4","1531,39",162,20
12980579,88267596,"14957,58",1441,80,0
12982843,61729071,"10397,47","1164,59",60,26
12983989,76537548,"9624,57",0,6,0
12984791,58840272,"13612,21",0,70,0
12987498,59572308,"22940,72","3605,12",172,34
12990809,56714592,"11098,32","778,14",66,4
13000473,64166715,"17083,71","284,27",80,4
13003364,55577493,"30407,72","795,17",206,18
13010413,59054043,"16982,84","510,9",108,8
13024934,59890227,"26002,19","2314,77",198,28
13035335,58852380,"10379,13","691,68",84,14
13036392,59969229,"24318,84","3863,19",188,44
13044733,86553831,"31550,04","2989,42",214,32
13045959,56704551,"18210,31","2124,82",110,16
13046467,55755747,"13498,24","749,32",98,8
13058621,86568393,"6649,56",0,56,0
13059573,56439639,"12524,91",0,116,0
13064565,76320249,"24901,79","4274,53",148,44
13067502,58313649,"33334,26","4812,94",236,56
13080840,58589736,"10300,53","1300,83",66,22
13085513,58689462,"18473,62","6327,3",142,44
13099777,63706365,"20120,29","1903,43",116,12
13106842,77032350,"13016,16",0,68,0
13116766,85576614,"19217,7","1164,59",96,8
13128447,66419628,"3064,09",0,4,0
13139758,80058363,"36900,08","4602,03",234,20
13150391,65009796,"48449,04","5812,47",302,30
13151739,87393459,"35337,25","8072,22",192,74
13171135,61386957,"43681,95","2443,15",310,46
13176030,86877471,"21911,06","7429,01",118,32
13178745,84088335,"12627,09","677,27",106,28
13183248,59859543,"15869,34","6620,74",144,84
13202402,58171182,"16075,01","928,79",82,18
13202416,55836057,"12589,1","1461,96",102,20
13211884,86018925,"14120,49","2719,56",60,30
13212263,61298085,"17899,84","1921,77",118,12
13227224,54302181,"19415,51","673,34",102,12
13251747,61100748,"14759,77","538,41",142,4
13255323,54742530,"30519,07","838,4",268,12
13256159,55443366,"11431,06","120,52",102,0
13257044,64094496,"21662,16","1051,93",100,0
13278677,60205731,"24092,21","275,1",142,0
13282971,87049662,"9057,34",0,46,0
13287427,61501377,"40123,99","753,25",260,4
13287542,86236725,5109,0,2,0
13309046,54358554,"19739,08",0,154,0
13313189,86568678,13755,"3001,21",98,36
13336258,86741364,"8335,53",0,44,0
13360686,66178017,"43380,65","2876,76",306,18
13365422,66589458,"17087,64","128,38",136,4
13367578,56588667,"26819,63","1813,04",180,10
13375107,55535325,"24436,74","373,35",170,4
13378109,58092825,"12809,18","2322,63",124,30
13378379,73389165,"14577,68",1048,14,0
13390440,61706307,"6610,26","1376,81",64,18
13401897,65871243,"26903,47","4063,62",186,32
13463780,55016805,"19575,33","2606,9",116,22
13465529,88516290,"22774,35","926,17",218,12
13466911,55118052,"14666,76","744,08",132,16
13470458,67611513,"22267,38","509,59",172,4
13487768,63044814,"40188,18","6843,44",244,22
13507578,68221395,"11965,54","1647,98",100,26
13513923,65738073,"7444,73","762,42",70,8
13519763,62650845,"20194,96","1151,49",96,6
13571702,56410152,"23540,7",1310,92,0
13582619,75579375,"16318,67","2466,73",112,34
13583403,89022228,"7588,83","1380,74",86,16
13610865,76462728,"19770,52","677,27",138,8
13611967,88798335,"28083,78","5309,43",150,22
13614397,66876135,"14149,31","965,47",118,12
13622170,84937422,"9544,66",0,36,0
13627181,87917556,"39419,21","533,17",188,0
13659514,57906054,"12904,81","886,87",58,22
13674891,65685168,9432,0,2,0
13675078,54282180,"26974,21","2549,26",174,8
13679342,67331976,5109,0,2,0
13685776,58652295,"9830,24","2631,79",62,10
13694551,67868145,"14382,49","3886,77",140,40
13704802,69452877,"7198,45",0,10,0
13714745,85912842,"17916,87","1044,07",168,22
13730038,75677364,"11340,67","180,78",90,8
13740463,82335807,"15148,84","4633,47",144,72
13745186,57290652,"27033,16","2061,94",154,12
13747183,78472662,"11683,89",0,90,0
13756816,55899474,"12945,42","901,28",90,8
13765734,81421893,"12885,16","136,24",80,0
13773238,59996340,12576,0,2,0
13792572,64724841,"13690,81","576,4",86,10
13793812,80275299,"10956,84","2054,08",82,12
13803637,60341514,"11000,07","927,48",82,8
13815454,75835203,"23329,79","9280,04",188,72
13820629,62261544,"7003,26",0,10,0
13843645,84078270,"14530,52","603,91",138,4
13845199,87646608,"14117,87","1282,49",172,30
13876393,56347455,"15620,44","1936,18",112,16
13912898,66101328,"13651,51","161,13",120,0
13916490,86648217,"10789,16","766,35",102,6
13928520,58982721,"10651,61","146,72",94,0
13930713,65186811,"7770,92","844,95",54,20
13931532,63761286,"19167,92","3999,43",152,32
13936638,74713728,"8811,06","841,02",96,12
13949298,55058715,"13555,88","3209,5",118,58
13958556,54028599,"24464,25",0,202,0
13972010,86825778,"11052,47","5074,94",68,4
13984688,78677076,"7071,38",0,4,0
13997300,56212776,"40458,04","7840,35",280,76
14022661,62965923,"5574,05",0,64,8
14023949,79648686,"18679,29","983,81",124,4
14035743,65530266,"7697,56",0,8,0
14043951,56286477,"12746,3","2065,87",114,30
14047865,57684246,"36226,74","3276,31",230,20
14073024,83916594,"12029,73","154,58",82,4
14083215,75987417,"10878,24","1743,61",64,30
14083499,59951358,"9294,45","2388,13",80,16
14090535,76462728,"15680,7","1367,64",142,22
14096898,78075246,"15028,32","1742,3",104,12
14103002,74802684,"5986,7","1051,93",46,20
14104168,75719718,"33053,92","1112,19",298,16
14118959,84134376,"15268,05","1420,04",86,10
14126317,66509520,"23766,02","1490,78",130,22
14148600,88388433,"11584,33","719,19",88,8
14148743,64715253,"17451,82","2012,16",130,12
14153850,86557791,"26911,33","1933,56",176,16
14166492,81319491,"23035,04","5126,03",110,28
14173742,57597159,"24675,16","5188,91",198,28
14180975,66161298,"22524,14","7423,77",148,28
14184406,64190328,"12146,32","2016,09",128,12
14196223,57325044,"13410,47","2038,36",72,16
14198923,54067929,"16347,49","3268,45",104,20
14199603,63775032,"15553,63","1404,32",100,12
14211243,81985314,"5612,04","514,83",62,10
14226984,61179933,"11681,27",0,98,0
14241065,84659694,"11292,2","1886,4",80,18
14244615,55807707,"49797,03","2557,12",228,2
14269163,55593909,"15172,42","2388,13",164,24
14271696,66393561,"16964,5",0,150,0
14272385,68221395,"11425,82","1401,7",102,16
14272425,74544123,"53766,33","759,8",220,14
14279156,64242612,"35996,18","913,07",226,12
14301434,67152699,"21476,14","2733,97",160,22
14313387,53844981,"8483,56","496,49",96,8
14319798,86815179,"7639,92","85,15",58,0
14329736,64680276,"7742,1",0,12,0
14334360,60239739,"20008,94","2247,96",170,18
14353777,87870042,"10755,1","687,75",86,20
14355200,87777804,"16832,19","396,93",136,0
14358776,83129544,"25719,23","5036,95",172,42
14361313,67947252,"21972,63","4564,04",154,44
14363658,65365434,"13062,01","1738,37",94,8
14400583,64503633,"16410,37","2571,53",116,20
14409946,65157384,"12860,27","294,75",120,0
14426490,56715996,"10318,87","182,09",82,0
14427811,63005763,"21214,14","2080,28",156,8
14430789,88520394,"7070,07",0,6,0
14434155,75273681,"28647,08",0,298,0
14439209,55118052,"18147,43","1543,18",138,12
14439422,58567023,"8300,16","982,5",20,8
14457228,59097777,"13169,43","5373,62",136,40
14477877,61743141,"13394,75","2905,58",102,24
14481646,84917322,"18165,77","3620,84",154,18
14498877,57735147,"21050,39","2247,96",174,28
14502376,76478232,"25821,41","1430,52",196,20
14507596,55537974,"9695,31","2381,58",78,34
14510355,89140707,"23230,23","489,94",134,0
14511029,77003760,"9352,09","3403,38",120,44
14523881,57689514,"22831,99","4188,07",184,20
14529975,60832788,"12611,37","1015,25",96,12
14530951,85926618,"13845,39","251,52",96,4
14551379,61444491,"30346,15","3847,47",154,12
14552688,68182206,"27875,49","801,72",218,16
14584863,85355817,"13758,93","3259,28",102,26
14587200,54282180,"29934,81","2439,22",182,24
14592851,89214810,"8178,33",0,56,0
14600215,88360722,"21164,36","535,79",138,6
14619200,84801687,"10688,29","772,9",74,8
14628196,57241263,"11517,52","3361,46",90,38
14633122,60236766,"22241,18","1416,11",172,30
14639206,77377356,"27802,13","1696,45",152,10
14664107,74625801,"28723,06","3677,17",234,68
14670152,76660272,"1592,96","441,47",20,8
14684487,85173162,"14759,77","875,08",122,8
14696418,58849362,"24215,35","3974,54",170,24
14716115,85818051,"11776,9","3733,5",78,18
14745833,58168461,"12031,04","909,14",80,4
14753948,89184972,"13823,12","889,49",82,4
14762927,54719055,"25442,82","3094,22",166,30
14766752,86741364,"9726,75","203,05",78,4
14787498,61372992,"16348,8","999,53",122,12
14811009,58294272,"11729,74","3675,86",104,44
14817611,67253886,"15892,92","358,94",96,12
14818738,60264411,"10421,05","647,14",72,4
14822731,54178359,"7373,99",0,34,0
14833617,64225584,"11526,69","4501,16",82,48
14841814,86916411,"13713,08","1426,59",122,28
14860681,66604197,"19974,88","7389,71",128,38
14887237,85197462,"17474,09","1659,77",112,18
14910033,74519463,"16085,49","778,14",94,12
14910242,62039181,"11218,84","2785,06",102,36
14911484,57916581,"20974,41","3252,73",148,42
14916710,67832667,"18015,12","1406,94",104,16
14916722,57890781,"16373,69","4975,38",114,54
14919468,84177504,"8317,19","2378,96",74,16
14923544,76251540,"13114,41","1793,39",136,26
14926548,59392032,"17569,72","1672,87",116,28
14929979,86587152,"10786,54","271,17",70,10
14940858,80585829,"22002,76","799,1",216,20
14949910,58085433,"6992,78","2136,61",80,34
14959165,65880327,"19266,17","656,31",194,14
14983250,55796979,"12355,92","1021,8",86,18
15006621,67709688,"8803,2","3534,38",76,36
15014134,61577154,"21609,76","3468,88",154,32
15020912,81867591,"25799,14","1376,81",216,14
15024715,61833750,"12007,46","2419,57",96,34
15054781,64610625,"15013,91","1989,89",126,60
15057913,74713728,"24958,12",0,212,0
15071292,54469857,"30019,96","1510,43",212,20
15082898,85650759,"19699,78","858,05",148,12
15122507,77003760,"12230,16","229,25",44,0
15134980,65708712,"30452,26","6174,03",218,52
15144043,58666323,"3745,29",0,22,0
15146605,56135694,"18270,57","2447,08",134,40
15163408,60681831,"17898,53","1290,35",144,28
15174813,61312611,"8597,53","830,54",60,26
15180020,67135269,8122,0,10,0
15181091,88360239,"15549,7","391,69",120,4
15181539,54089925,"19183,64","565,92",152,4
15184629,83380623,"17171,48","5427,33",94,60
15200668,65232441,"22015,86","2878,07",124,30
15204506,65367450,"12165,97","1685,97",98,22
15206411,58106796,"26122,71","1558,9",160,22
15220503,78711777,"12699,14","2964,53",74,36
15221150,74753760,"15067,62","754,56",112,8
15229873,68025498,"13922,68","1205,2",88,16
15231948,86476248,"24504,86","3813,41",162,44
15246991,63857052,"35364,76","4256,19",232,48
15257220,61159335,"7275,74",393,46,0
15257690,66541515,"6742,57","966,78",42,8
15264276,86860599,"18338,69","2921,3",138,32
15270144,66348780,"19896,28","2321,32",112,22
15274540,61769322,"25507,01","5312,05",166,54
15279650,55482132,"17615,57","1105,64",18,0
15289304,67870185,"9449,03","3272,38",44,12
15296253,64774776,"56036,56",5371,192,62
15325754,65708712,"25631,46","6711,13",186,82
15379499,54212274,"27579,43","1151,49",184,6
15396256,68026719,"15399,05","1839,24",96,0
15423451,65249214,"17246,15","3755,77",190,70
15425579,57161700,"28635,29","2703,84",198,18
15438567,63859629,"17019,52","449,33",140,10
15451445,89111613,"12666,39","264,62",78,4
15454849,80786586,"16538,75",0,90,0
15468067,66590838,"8069,6",0,80,0
15485170,59510697,"10914,92",0,32,0
15494565,65567208,"15679,39","2327,87",98,6
15500107,58191579,"11103,56",0,8,0
15503319,64362981,"16517,79","664,17",124,18
15504842,60970473,"10768,2","1092,54",72,12
15509255,58529244,"23172,59","2758,86",164,22
15513573,75320736,"9801,42","2529,61",96,40
15515539,66891576,"8030,3","2275,47",76,12
15538303,89236119,"10160,36","91,7",76,0
15542465,61900863,"15012,6","3897,25",80,6
15545880,87857709,"13567,67","2320,01",128,48
15580076,64848417,"19343,46","2677,64",150,36
15612537,59523165,"19939,51","2189,01",122,28
15621782,58203213,"22807,1","5433,88",126,20
15644614,60345015,"18110,75","3539,62",142,28
15669810,75837102,"38229,73","9619,33",248,62
15672709,75268581,"13181,22","102,18",114,4
15674384,54822888,"19199,36","6933,83",126,50
15685118,67335951,"10643,75","296,06",88,4
15688063,59008176,"12438,45","4336,1",146,58
15720325,87262275,"17128,25","3770,18",124,50
15721162,59589948,"9746,4","35,37",44,0
15737141,81215130,"12894,33","3750,53",134,52
15756219,55016805,"11155,96","1215,68",42,6
15756639,55864263,"35389,65","551,51",210,14
15763419,55154268,"14653,66","644,52",86,12
15784711,61329699,"15024,39","2354,07",130,24
15802474,60988689,"52181,23","4616,44",324,48
15808044,88520394,"12059,86","1545,8",102,4
15808716,65531409,"34108,47","699,54",296,20
15810930,68197884,"15835,28","2232,24",142,24
15811707,61137780,"10600,52",0,6,0
15812139,58171182,13362,"1586,41",60,12
15825110,58712895,"8728,53","939,27",56,0
15831469,55593909,"8335,53",0,50,0
15865486,58001568,"13237,55","2465,42",88,32
15885596,61706307,"7970,04","4075,41",68,26
15893746,58128882,"15554,94","2276,78",98,12
15901331,62484888,"18163,15","150,65",82,0
15910088,66037038,"31214,68","1976,79",308,44
15946240,54857622,"14877,67","1194,72",80,8
15961212,61004340,"13699,98","3635,25",82,28
15974279,67738425,"15156,7","1103,02",122,20
15977472,87777804,"12510,5",0,56,0
15980879,66966780,"52251,97","4366,23",308,20
16026118,62852427,"10658,16","2078,97",110,16
16041504,60373491,"26661,12","3576,3",188,26
16062340,89141967,"23445,07","465,05",186,12
16088709,54522597,"10186,56","602,6",80,4
16096556,67389357,"20346,92","1160,66",202,24
16111597,87859200,"20481,85",0,206,0
16117996,59969229,"20973,1","4685,87",184,54
16119076,56749356,29606,"5254,41",144,24
16123096,55463280,"22453,4","4881,06",164,36
16129292,67671393,"13489,07","1431,83",136,14
16134283,65930043,"18351,79","1139,7",86,16
16135167,57534945,"11935,41","2253,2",96,16
16160241,66498573,"34840,76","1854,96",202,34
16187408,60515391,"11869,91","568,54",100,8
16200189,85159623,"10529,78","939,27",78,38
16211896,54235995,"11214,91","14,41",84,0
16225385,60463893,9432,0,2,0
16231098,65218995,"11060,33","390,38",102,0
16252963,83511513,"22887,01","2830,91",172,36
16262954,58502337,"28019,59","2026,57",190,8
16264909,56347455,"19690,61",6157,144,60
16270876,86741364,"9611,47","1189,48",64,18
16283243,85197636,"50399,63","1540,56",420,24
16293812,77351148,"13565,05","979,88",102,6
16299157,58618827,"20815,9","1861,51",182,20
16301340,63822876,"5203,32","3056,23",76,20
16310421,75214362,"27272,89","1182,93",168,20
16313296,54872868,"12105,71","424,44",66,6
16318655,62435817,"10761,65",0,30,0
16320727,75579375,"12851,1","132,31",84,0
16322709,81247014,"19978,81","3365,39",194,36
16323081,54474018,"35182,67","5308,12",214,16
16330758,63297354,"10431,53","1104,33",82,8
16341287,87966315,"8270,03","2035,74",6,0
16342583,83610078,5109,0,2,0
16350293,75896562,"10596,59","2661,92",78,36
16352600,66903963,"31806,8","648,45",240,12
16359856,87055533,"12215,75","1490,78",72,16
16372508,66430869,"21738,14","2689,43",136,14
16375301,54028599,"32903,27","1121,36",270,12
16390942,86976927,"27909,55","5090,66",218,48
16430165,66038562,"25789,97","2200,8",140,16
16436832,66115752,"20847,34","3476,74",172,22
16438691,63968703,"16726,08","626,18",130,10
16446435,59970747,"23506,64","159,82",160,0
