CUSTOMER_NO,LOYALTY PROGRAM,AGE,CUSTOMER_TYPE,GENDER
54101643,1,3,2,0
54103410,0,3,1,1
54103962,0,2,2,0
54105273,0,4,3,1
54108372,1,2,1,1
54109845,1,3,1,0
54111300,1,2,1,0
54111972,1,2,2,0
54114843,1,4,1,0
54115686,0,3,1,1
54116502,0,3,2,0
54119136,1,3,2,0
54121311,1,3,1,1
54134259,0,3,1,1
54138312,0,3,2,1
54139296,1,3,2,0
54143202,1,3,1,1
54143301,0,3,1,0
54145050,0,3,1,0
54152163,1,3,1,0
54153966,0,2,2,1
54157590,0,4,2,0
54157986,1,2,1,0
54163971,0,2,3,0
54168804,0,4,1,1
54171681,0,3,2,0
54171789,0,4,2,1
54172941,0,3,1,0
54172953,1,3,1,0
54176925,0,3,1,1
54177282,0,4,1,0
54178359,0,3,2,1
54179916,0,3,1,0
54186045,0,2,3,1
54187305,0,4,1,0
54192975,0,3,3,0
54199005,0,2,2,0
54203265,0,2,2,0
54206589,1,3,3,0
54206919,1,3,1,1
54207225,1,3,1,0
54207585,0,4,1,1
54209505,0,3,1,1
54212274,0,2,2,0
54214497,0,3,2,0
54215919,0,3,1,0
54217464,1,4,1,0
54218856,0,2,2,0
54219195,0,2,1,0
54220716,0,2,2,0
54221157,1,3,1,0
54221346,1,3,1,0
54224259,0,3,2,0
54225123,0,2,2,0
54227619,0,2,1,0
54229209,1,2,2,1
54232296,1,2,1,0
54234687,1,2,3,1
54235995,0,2,1,0
54236403,1,3,2,0
54236808,0,3,1,1
54238005,0,3,2,1
54238764,0,2,2,0
54238905,0,3,2,1
54242004,0,3,3,0
54247719,0,2,1,0
54247815,1,3,3,0
54251115,0,4,2,0
54257529,1,3,2,0
54262260,0,3,1,0
54264294,0,3,3,0
54266190,0,3,2,1
54266505,0,2,2,0
54266925,0,3,3,0
54267816,0,4,1,0
54270384,1,4,1,1
54272127,1,4,1,0
54273411,1,3,3,0
54275076,1,3,1,0
54276894,0,2,2,0
54282180,1,3,1,0
54284364,1,3,1,0
54285927,0,2,2,1
54287043,0,3,1,0
54289989,0,3,1,0
54294999,0,3,1,1
54297087,0,3,3,0
54297525,1,3,1,0
54300669,0,2,1,0
54303348,0,2,2,0
54305856,0,2,3,0
54306489,0,3,1,0
54308223,0,3,2,0
54309801,0,2,1,1
54313107,0,3,1,1
54314496,0,3,1,1
54319713,0,3,1,1
54320775,0,3,2,0
54320964,0,3,1,0
54324969,0,2,1,0
54327348,1,4,1,0
54327711,1,3,1,0
54328209,1,3,3,0
54335115,1,4,1,1
54336111,0,3,2,1
54337560,0,3,1,0
54339867,0,2,1,0
54342372,1,3,1,0
54342783,0,4,1,0
54346191,0,3,1,0
54347397,1,3,3,0
54348753,0,2,3,1
54350133,1,4,1,0
54350745,0,3,1,0
54353301,0,2,2,1
54354489,1,3,1,0
54358554,0,3,2,0
54360465,1,3,1,0
54360516,0,2,3,0
54361611,0,3,1,0
54371409,0,4,1,0
54373002,0,4,1,0
54376647,1,3,1,0
54377250,0,2,2,0
54378891,1,3,1,0
54379275,0,3,1,1
54379644,0,3,1,0
54384153,0,2,1,1
54386427,0,3,1,1
54386991,1,4,2,0
54387348,0,4,0,0
54390714,1,3,2,0
54390834,0,2,2,0
54391293,0,3,2,0
54392934,0,3,1,0
54395136,0,3,2,1
54397728,0,3,2,0
54398769,0,1,3,0
54399435,0,2,2,0
54400173,0,2,2,0
54403008,0,3,3,1
54404403,1,3,3,0
54404991,0,3,1,0
54406872,0,3,1,1
54407313,0,2,1,1
54409125,1,2,1,0
54414993,0,4,1,1
54415233,0,3,1,1
54416205,1,3,1,1
54417798,1,3,1,1
54418290,1,3,2,0
54419160,0,2,2,0
54419778,0,2,1,0
54423798,0,2,2,0
54426681,0,3,1,0
54427767,0,3,2,1
54428793,1,3,1,0
54430515,0,3,2,1
54432597,0,3,3,0
54441564,0,2,2,0
54441666,1,2,2,1
54448176,0,2,2,0
54450567,0,3,2,0
54451323,0,3,2,0
54453885,0,4,1,0
54453912,1,3,2,0
54455799,1,2,1,1
54456858,1,2,1,0
54457176,0,3,3,0
54457305,0,3,1,0
54459141,1,2,1,0
54459339,0,4,1,0
54461592,0,3,1,1
54462750,1,2,1,0
54464949,0,2,2,1
54465066,1,4,2,0
54466446,1,4,1,0
54466548,1,3,1,1
54468684,0,3,1,0
54468732,0,3,2,0
54469794,1,4,1,0
54469857,0,3,2,0
54470364,1,3,1,0
54471636,1,3,2,0
54474762,0,4,1,0
54479883,0,2,4,1
54480891,0,2,1,0
54481755,0,2,1,0
54482298,0,2,1,0
54482496,1,2,2,0
54483474,0,2,2,0
54484206,0,2,2,0
54490974,1,2,2,0
54493617,1,3,2,0
54493806,1,3,2,0
54497034,1,3,2,1
54497550,0,4,2,0
54499791,1,4,1,0
54503136,0,3,1,0
54503517,0,3,2,0
54506796,0,3,1,1
54509247,0,3,2,1
54511050,0,4,2,0
54511218,0,4,1,0
54512316,0,2,2,0
54512745,0,2,2,0
54514293,0,3,1,0
54515256,1,4,1,0
54522597,0,3,2,0
54523890,1,3,1,1
54524739,1,2,1,0
54526722,0,3,2,0
54530559,0,3,1,0
54533439,1,3,2,0
54534138,1,4,2,0
54534933,0,2,2,0
54537900,0,4,2,0
54538860,0,3,2,0
54539235,0,3,1,0
54540633,0,3,3,1
54551022,0,1,1,0
54551295,0,3,2,0
54551877,1,3,1,0
54552657,1,4,1,0
54554337,1,4,1,0
54555087,0,3,2,0
54555360,0,3,2,1
54555759,0,3,1,0
54556209,1,3,1,0
54557394,1,3,1,0
54560880,1,3,1,0
54562833,1,4,1,1
54563625,1,4,1,1
54570453,0,3,2,0
54571485,0,2,1,1
54573708,1,4,1,0
54574254,0,3,1,1
54575019,0,3,3,0
54575781,0,3,1,0
54582954,0,3,1,0
54586020,0,4,1,1
54588288,1,3,2,1
54589065,1,4,1,1
54589503,0,2,2,0
54590037,1,3,2,0
54593664,1,4,1,1
54594510,0,2,4,1
54596181,0,3,1,1
54596994,1,4,1,0
54597072,0,2,2,0
54597465,0,2,2,1
54599178,1,2,1,0
54601842,0,3,4,0
54602355,0,3,1,1
54603564,0,3,1,0
54608109,0,4,1,1
54609885,0,2,1,0
54610110,1,4,1,0
54612570,1,3,1,0
54613293,0,2,2,1
54613341,0,2,1,0
54614301,0,3,1,0
54614661,0,2,2,1
54617742,1,3,2,1
54619689,1,4,1,0
54630171,0,3,2,0
54633381,0,4,1,0
54634329,1,3,2,0
54635907,0,4,1,1
54639204,1,4,1,0
54639843,0,3,1,0
54642945,1,2,3,0
54643623,0,4,1,1
54644373,1,3,1,0
54644700,1,3,2,0
54646086,0,2,2,1
54646287,1,2,2,1
54652509,1,2,1,0
54656730,0,3,1,0
54657096,0,3,1,1
54659004,1,4,2,0
54664599,0,3,1,0
54669159,1,3,1,0
54669450,1,3,1,0
54671211,0,3,1,0
54676389,0,2,2,0
54677871,1,3,2,0
54678108,1,3,2,0
54680124,1,3,2,1
54681039,1,3,1,1
54683739,1,3,1,0
54688656,0,4,1,0
54692037,0,2,2,0
54692991,0,2,2,0
54694446,1,3,1,0
54697578,1,4,1,1
54700929,0,3,1,0
54705954,0,2,1,0
54711450,0,4,1,0
54716079,1,2,1,1
54716232,0,3,3,0
54718728,0,4,3,0
54719055,0,2,2,0
54725979,0,3,1,0
54731406,1,3,1,0
54732033,0,3,2,0
54736710,1,4,1,0
54741768,0,3,1,1
54742530,0,3,1,1
54745164,1,3,2,0
54750525,0,3,1,0
54751494,1,3,1,0
54752064,1,2,1,1
54752691,0,2,2,0
54754314,0,3,1,1
54754614,1,3,2,0
54755091,0,3,2,0
54762072,1,3,1,0
54763302,1,3,1,0
54771324,1,3,1,0
54774333,0,4,1,0
54776277,0,2,3,0
54777786,0,3,2,0
54782850,1,4,1,0
54783627,1,3,2,0
54783672,1,3,1,0
54783816,0,2,1,0
54787686,1,3,2,0
54790989,0,2,2,0
54791751,0,3,1,0
54794976,0,3,3,0
54797451,0,3,2,0
54799485,1,3,2,0
54799641,0,3,1,1
54799872,0,2,1,0
54803049,0,2,3,0
54804774,0,4,2,0
54812955,0,4,1,0
54814725,0,4,4,0
54817545,0,3,2,0
54820926,0,2,1,0
54821385,0,2,4,1
54822411,0,4,2,0
54822888,1,2,1,1
54825123,0,3,1,0
54826104,0,2,2,0
54827538,1,4,2,1
54827754,1,3,1,0
54834546,0,2,2,1
54834699,0,3,1,0
54834738,1,3,2,0
54836709,0,3,1,0
54837504,0,4,1,0
54840546,1,3,1,0
54844599,0,4,2,0
54846123,0,3,1,1
54846996,1,3,1,0
54847428,1,2,2,0
54848973,0,3,1,0
54849501,0,2,1,0
54850542,1,3,2,0
54851643,0,2,1,0
54851805,0,4,1,0
54852030,0,3,1,0
54854361,0,3,4,1
54856128,1,2,2,0
54857622,0,2,2,0
54860730,0,2,3,0
54861120,1,3,2,0
54863217,0,2,1,0
54863541,0,2,2,0
54865131,1,3,1,0
54866058,0,3,2,0
54869730,0,3,1,0
54871887,1,2,2,0
54872805,1,2,3,0
54872868,0,2,2,0
54875211,1,4,1,1
54879300,0,2,3,0
54879555,0,2,2,0
54880593,1,3,1,0
54882492,1,3,1,1
54882537,0,3,2,0
54884493,0,4,1,0
54890820,1,3,1,1
54897381,0,4,1,0
54898065,1,4,1,1
54902118,0,2,2,1
54902685,0,2,2,0
54920604,1,3,3,0
54921405,1,4,2,0
54921987,0,4,1,0
54924117,0,2,2,0
54927942,1,3,2,0
54934338,0,3,1,0
54934956,1,4,2,0
54936813,0,3,2,0
54939060,0,3,2,0
54939945,0,3,4,0
54941808,1,3,2,0
54955002,0,3,2,0
54955164,1,4,1,0
54956268,1,3,1,0
54959466,0,2,3,1
54960339,1,4,1,0
54963117,0,3,1,0
54965760,0,3,1,0
54966138,0,3,1,0
54968667,0,2,2,0
54970479,1,3,1,1
54971403,0,3,2,0
54973110,0,3,1,0
54975093,0,2,3,0
54975507,0,2,3,0
54976170,0,3,1,0
54983664,0,3,3,0
54986934,1,3,1,0
54987492,0,2,2,0
54987849,0,3,1,0
54990024,1,3,1,0
54991086,0,3,1,0
54991155,0,3,1,0
54991713,1,2,1,0
54993390,1,4,1,0
54993462,1,3,1,0
54995466,0,2,1,0
55000323,1,3,3,0
55000353,0,2,2,0
55001064,0,4,2,0
55003524,0,2,2,1
55004505,1,2,1,1
55005465,0,3,1,1
55006173,1,4,3,0
55006338,0,2,2,0
55009542,0,4,1,1
55010604,0,3,1,0
55010751,1,2,2,0
55012761,1,4,2,1
55014369,0,4,1,0
55016805,1,3,1,0
55018674,1,2,1,0
55018923,0,4,2,0
55019181,0,4,1,0
55019556,0,2,2,1
55019658,0,2,1,0
55021002,1,2,2,0
55035714,1,4,1,1
55037508,0,3,2,0
55038564,0,2,2,0
55042866,1,4,1,1
55043418,0,3,1,0
55047645,1,4,1,0
55050342,1,4,1,0
55050798,0,3,1,0
55052691,0,3,1,1
55053687,0,3,1,0
55053945,0,3,3,0
55056333,0,4,1,0
55056396,1,4,1,1
55057053,0,2,3,0
55057179,1,3,1,0
55057947,1,3,2,1
55058307,1,3,2,0
55058715,0,3,2,0
55058760,1,3,1,1
55060296,0,3,1,0
55060347,0,2,1,0
55063359,1,2,1,1
55066308,0,2,1,0
55068258,1,1,1,0
55068735,0,4,1,1
55069431,0,3,2,1
55069662,0,1,3,0
55070436,0,3,1,0
55071789,1,4,1,0
55072071,1,3,1,0
55073418,0,4,1,0
55074780,1,2,1,0
55075632,1,3,2,0
55076961,1,3,1,1
55078113,0,3,1,0
55078230,1,3,1,1
55083507,1,3,2,0
55087194,0,2,2,0
55089711,1,3,2,0
55089747,0,3,0,1
55090419,1,3,2,0
55092939,1,4,1,1
55093419,0,2,1,0
55096869,0,4,1,0
55098579,1,3,1,1
55102584,1,3,1,1
55106379,0,2,1,1
55107990,0,3,1,0
55111638,0,2,2,1
55113303,0,2,2,0
55117065,0,3,2,0
55117779,1,3,1,1
55120203,0,3,1,0
55122129,0,2,2,0
55122822,1,3,1,0
55123977,1,2,1,0
55125240,0,3,1,0
55126674,1,3,1,1
55126962,0,4,1,0
55128789,0,3,2,0
55128891,1,4,1,0
55129791,1,4,1,0
55140213,0,4,1,0
55140579,1,4,1,0
55141047,0,4,1,1
55141263,0,2,1,0
55142121,0,3,2,1
55149510,1,3,2,1
55149654,1,4,1,0
55150923,1,3,1,0
55150962,0,2,1,0
55152426,0,3,2,1
55152906,0,4,1,0
55154268,0,2,3,0
55155207,1,3,2,0
55156092,1,4,1,0
55156413,0,3,2,0
55156521,1,3,2,0
55157949,0,3,2,0
55159095,0,4,2,0
55159668,0,4,1,0
55159998,0,3,2,1
55161084,0,4,1,1
55167024,0,2,2,0
55169889,1,3,2,1
55172736,1,3,1,0
55174938,0,3,1,1
55174998,0,3,1,0
55175316,0,2,1,0
55177332,0,3,4,0
55180719,0,4,1,0
55181958,1,1,4,1
55185432,1,4,1,1
55186134,1,4,1,1
55191195,1,4,3,1
55191369,0,4,1,0
55194699,1,3,2,0
55196301,1,2,1,0
55196649,0,1,2,0
55197804,1,2,1,0
55197873,0,3,2,0
55199517,0,3,2,1
55199769,0,2,2,0
55201152,0,2,1,0
55201293,0,3,1,1
55203063,1,2,1,1
55203657,1,2,4,1
55205106,0,2,1,0
55205403,0,4,2,1
55206111,1,4,1,0
55208982,0,2,1,0
55209051,0,2,2,0
55209753,0,3,1,0
55209870,1,3,1,0
55213938,0,2,3,1
55214085,0,3,1,1
55216668,0,3,3,1
55217019,0,3,1,1
55217868,0,3,3,0
55218144,0,4,1,0
55218336,0,4,1,0
55220469,0,4,1,0
55222230,1,3,3,0
55229196,1,4,1,0
55230939,0,3,3,1
55230969,0,2,2,0
55231920,0,3,3,0
55233489,1,2,1,0
55233507,0,4,1,0
55235118,1,3,1,0
55235430,0,3,1,1
55237050,0,3,1,0
55237155,0,2,1,1
55237479,1,1,2,1
55237740,1,3,2,1
55238286,0,3,1,0
55238895,0,3,2,0
55239192,0,3,1,0
55240293,1,4,1,1
55241835,0,3,2,0
55244424,1,4,1,1
55244580,0,2,2,0
55245120,0,2,4,0
55245822,0,2,3,1
55246653,0,3,3,0
55247802,0,2,1,0
55248009,1,2,1,1
55248708,0,3,1,1
55249683,0,4,1,0
55250520,1,4,1,1
55250697,0,3,1,0
55255287,1,4,1,0
55255803,0,2,1,0
55255854,1,2,1,0
55256628,0,2,2,0
55261395,1,4,1,0
55262724,0,2,1,1
55263078,1,2,2,0
55263567,1,2,2,0
55265340,1,2,1,1
55266186,1,4,1,0
55268280,0,3,2,0
55274604,1,2,1,0
55275888,0,3,1,0
55280247,0,2,2,0
55281372,0,2,2,0
55283490,0,2,2,0
55288413,1,4,1,0
55288512,0,2,2,0
55288743,0,2,1,0
55291518,0,2,2,0
55292811,0,2,1,0
55296612,1,3,1,0
55297173,1,3,2,0
55297752,0,3,2,0
55298103,0,3,2,0
55298343,1,3,1,0
55300281,0,2,1,0
55300620,0,3,1,1
55304112,1,4,1,1
55305372,0,4,1,1
55305456,1,3,1,0
55305648,0,2,1,0
55307745,1,4,1,0
55310508,0,3,1,0
55310913,0,2,2,1
55311759,0,3,2,0
55315776,0,4,1,0
55317471,1,4,1,0
55320003,1,3,2,0
55320030,1,3,1,0
55322073,1,3,2,0
55323783,0,3,1,1
55325688,1,1,3,0
55327941,0,4,1,0
55328325,1,3,1,0
55328442,0,3,1,0
55329042,0,2,1,0
55331373,1,4,1,1
55332132,1,3,1,0
55334802,0,4,1,0
55335606,0,2,2,1
55337484,1,3,3,0
55338066,0,4,1,1
55338468,0,2,1,0
55339044,0,3,1,0
55340904,1,2,1,1
55341222,0,3,1,0
55343217,1,3,1,0
55345170,0,2,1,0
55345662,1,4,1,0
55349433,1,2,2,1
55350984,1,3,1,0
55352253,0,3,1,0
55354584,0,3,1,0
55356063,0,2,1,1
55356387,0,3,1,0
55356588,1,3,2,0
55358505,1,4,3,1
55359075,1,4,2,0
55361148,0,3,2,0
55363005,1,3,2,0
55364091,1,3,1,0
55366980,1,3,3,0
55368219,0,2,1,0
55371549,1,4,1,1
55372929,0,4,1,0
55374189,1,2,1,0
55376100,1,4,1,0
55376355,0,2,1,0
55380624,0,3,2,0
55380648,1,4,1,1
55390338,1,3,0,0
55393680,0,2,1,0
55399947,0,2,3,0
55403064,0,1,3,0
55403259,1,3,1,0
55404438,0,2,3,0
55406385,0,2,1,0
55406589,0,2,1,1
55406910,0,3,1,0
55407387,0,3,1,0
55408218,1,3,1,1
55410549,1,2,2,0
55410867,1,3,2,0
55411407,0,2,1,0
55413441,0,3,1,1
55419378,0,3,1,1
55424664,0,3,1,1
55428759,1,4,1,0
55431045,0,2,1,0
55434936,0,3,2,0
55436352,0,2,3,1
55442193,0,2,3,0
55444386,1,3,3,1
55445700,0,2,1,0
55446600,1,3,1,0
55447452,0,3,3,0
55448958,0,4,1,0
55450473,1,3,1,1
55453716,0,2,1,1
55454025,0,2,1,0
55454142,0,4,1,1
55455735,1,4,1,1
55456656,1,2,3,1
55459524,0,2,1,0
55460442,0,3,1,0
55460478,0,2,2,1
55464375,1,2,2,0
55466193,0,4,1,1
55467465,1,3,1,0
55467876,0,3,1,0
55468251,1,3,2,1
55468959,0,2,2,1
55469703,1,4,1,1
55469784,0,3,1,0
55469889,0,3,1,1
55470450,1,4,1,0
55473006,0,3,1,0
55482132,1,4,2,1
55482159,0,2,1,1
55482711,1,2,2,0
55488234,1,3,2,0
55491438,1,2,2,0
55491594,0,3,1,1
55492752,0,2,1,1
55492836,0,3,1,0
55494105,1,4,2,1
55498275,0,2,3,0
55498731,1,2,1,0
55498974,0,2,1,0
55500966,1,1,2,0
55503369,0,4,1,0
55503849,0,3,1,1
55507014,0,2,4,0
55508634,0,3,1,0
55508763,0,3,1,1
55509228,1,4,2,1
55510365,0,2,2,0
55513143,1,2,2,0
55517067,1,2,3,0
55521855,0,4,2,0
55522407,1,3,1,0
55523655,1,3,1,0
55524249,0,2,2,0
55524558,1,2,1,0
55524654,1,2,3,0
55524708,1,3,2,0
55527336,1,1,1,0
55527399,1,4,1,0
55528998,1,4,1,0
55529073,0,2,2,0
55530498,0,3,1,0
55531746,0,3,1,0
55531902,0,3,1,0
55533117,1,3,1,0
55533849,1,3,2,0
55535325,0,2,2,1
55537101,1,3,1,1
55537974,0,3,2,0
55539999,0,2,1,0
55543773,0,4,2,0
55543962,0,2,2,0
55545186,1,4,1,0
55549299,0,2,1,1
55549647,1,3,1,1
55551423,0,4,1,0
55552959,1,2,1,0
55553874,0,3,1,0
55554243,0,3,1,0
55557102,1,4,1,0
55557558,0,3,1,0
55557582,1,3,1,1
55558455,1,4,1,0
55559724,0,3,1,0
55561242,0,3,3,0
55563627,1,2,1,1
55564224,0,4,1,0
55564425,1,3,1,0
55565595,1,3,1,0
55566189,0,4,1,0
55568217,0,4,1,1
55568664,1,2,1,0
55569000,1,2,2,1
55570119,0,2,1,1
55570566,1,4,1,0
55573437,0,2,2,1
55575000,0,3,2,0
55576830,0,3,2,0
55577349,0,3,1,0
55577493,0,3,3,0
55582218,0,4,1,0
55582554,1,2,1,1
55584000,0,3,1,0
55584348,0,3,2,0
55586313,1,3,1,0
55586733,1,3,3,0
55586931,0,2,2,0
55587900,1,3,1,0
55589106,1,4,2,0
55590234,0,3,1,1
55590552,0,3,1,1
55591902,0,2,2,0
55593189,0,4,1,0
55593909,0,2,2,1
55595529,0,3,2,0
55596723,1,3,1,1
55597347,0,2,1,0
55598694,0,4,1,0
55601169,0,2,2,0
55602999,0,1,1,0
55604556,0,2,2,1
55606158,1,2,1,1
55606803,1,3,1,0
55606932,0,2,2,1
55607733,0,2,1,1
55608432,1,2,1,0
55609446,0,2,2,0
55614489,1,3,1,1
55614576,0,2,2,1
55616292,1,2,2,0
55618011,0,4,1,0
55620879,1,4,1,0
55624227,1,4,1,1
55627515,0,3,1,0
55629411,0,2,2,1
55630590,0,3,1,0
55630737,0,4,1,0
55635252,0,2,1,0
55636599,0,3,1,1
55636710,0,2,2,0
55637991,0,3,1,0
55638774,0,4,2,1
55639998,0,4,1,0
55642125,0,3,3,0
55642227,0,3,1,1
55642554,1,3,1,1
55642614,1,3,2,1
55646439,0,2,3,0
55650483,0,2,1,0
55652148,1,3,4,0
55653156,0,3,2,0
55655007,0,2,2,0
55655844,1,2,3,1
55658550,0,4,1,1
55663785,1,4,3,0
55667109,1,4,1,0
55667586,1,3,1,0
55668354,0,2,3,1
55668912,0,2,3,0
55670169,0,2,1,0
55674060,1,4,1,0
55674996,1,2,2,0
55675017,1,4,1,0
55675896,0,2,1,0
55677273,0,4,1,0
55678251,0,2,1,0
55679634,0,2,2,0
55681242,0,1,1,0
55685259,1,3,2,0
55687701,1,2,1,1
55687848,0,2,3,1
55688082,1,3,2,1
55694820,0,3,2,0
55695069,0,3,2,1
55696620,0,3,1,0
55697403,1,2,1,0
55699554,1,2,2,0
55705296,0,2,2,0
55707297,1,3,2,1
55711392,1,4,1,0
55711458,0,2,3,0
55714605,0,2,2,0
55715937,0,3,3,1
55718520,1,3,1,0
55721499,1,4,1,0
55730280,1,4,1,0
55730655,0,3,1,0
55730877,0,4,1,0
55735905,0,2,2,1
55740651,1,3,1,0
55742853,1,2,2,0
55743099,0,3,1,1
55744230,1,3,1,0
55748967,1,4,1,1
55749489,1,4,1,0
55752549,0,2,2,1
55752717,0,4,1,1
55760994,0,2,2,0
55764495,0,4,1,1
55764540,1,4,1,1
55764969,1,2,2,0
55765182,1,2,2,1
55765311,1,4,1,0
55767552,1,4,1,1
55768566,0,2,2,0
55768692,0,4,2,0
55770132,1,3,2,0
55770264,0,2,1,0
55770924,0,2,1,1
55775643,0,3,4,0
55776216,1,3,1,0
55778727,0,2,3,1
55781235,0,2,1,1
55782366,1,2,1,1
55783857,1,4,1,0
55788366,1,3,2,0
55791279,0,2,1,1
55791339,0,4,1,1
55793541,1,3,2,0
55794327,0,3,3,1
55795266,0,3,3,0
55796979,0,3,2,0
55800750,0,2,3,0
55803048,0,2,1,0
55807707,1,2,2,0
55808214,0,2,3,1
55810077,0,2,2,0
55814946,0,1,3,0
55818813,1,3,1,0
55821180,0,2,2,0
55821303,1,4,1,0
55823292,0,4,1,1
55825800,0,3,2,0
55828050,0,4,1,1
55834383,0,4,1,1
55835355,1,4,2,0
55836057,0,2,2,0
55836126,0,3,2,1
55837551,1,3,1,0
55838295,0,2,3,0
55840431,1,2,2,0
55840662,0,2,3,0
55843362,0,3,1,1
55843875,1,4,1,1
55847811,1,4,1,0
55849035,0,3,1,0
55850244,0,2,2,0
55851162,0,4,2,0
55851207,0,2,1,0
55852566,1,4,1,0
55853271,0,2,2,1
55857798,1,2,2,1
55857843,0,2,1,0
55858329,1,3,1,1
55859445,0,3,1,1
55862271,0,2,2,0
55863558,1,3,1,0
55864263,0,2,2,0
55865076,1,2,1,0
55865349,0,2,2,0
55866510,0,2,1,0
55868187,1,2,2,1
55870416,1,3,3,0
55870722,1,4,2,0
55871895,0,4,1,0
55873368,1,3,1,0
55873653,0,2,1,0
55874280,0,2,2,0
55878249,0,2,2,0
55879650,0,2,3,1
55885254,0,4,1,1
55886829,1,4,1,1
55886931,0,2,2,0
55887267,0,3,2,0
55887690,0,3,3,0
55888662,1,2,3,0
55895394,0,4,2,1
55899084,1,4,1,0
55899474,1,3,1,1
55900353,1,3,1,0
55904097,0,2,2,0
55909608,1,3,1,0
55910820,0,2,2,0
55918236,1,4,1,0
55920399,0,2,1,0
55922445,1,3,1,0
55922820,1,3,1,1
55927203,1,3,1,1
55927602,1,3,1,1
55928991,1,3,2,0
55930398,0,1,1,0
55930425,0,3,3,0
55932459,0,3,3,0
55935882,0,4,1,1
55939782,1,4,1,0
55943253,0,2,3,0
55945512,0,3,3,0
55946124,0,2,2,1
55947147,0,3,1,1
55948386,1,4,1,0
55950753,1,2,2,0
55952736,0,2,1,0
55954587,0,3,1,0
55954746,0,2,1,0
55954869,0,3,3,0
55957143,1,2,2,1
55957989,1,4,2,0
55958184,0,2,1,0
55958316,0,2,2,1
55958949,0,3,1,0
55965189,1,4,1,0
55966410,0,4,2,0
55966437,0,2,1,0
55967274,0,2,2,1
55970688,1,2,1,1
55972470,1,2,2,0
55973811,1,3,2,0
55974582,1,2,2,0
55975527,0,3,2,1
55976598,1,4,1,0
55978089,0,4,1,1
55980660,1,3,1,0
55984776,1,2,1,0
